"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalAlleOnderliggendeDoodsoorzaken_1";"TotaalInfectieuzeEnParasitaireZktn_2";"k_11Tuberculose_3";"k_12Meningokokkeninfecties_4";"k_13ViraleHepatitis_5";"k_14AIDS_6";"k_15OvInfectieuzeEnParasitaireZktn_7";"TotaalNieuwvormingen_8";"TotaalKwaadaardigeNieuwvormingen_9";"k_211KwNvVanLipMondEnKeel_10";"k_212KwNvVanSlokdarm_11";"k_213KwNvVanMaag_12";"k_214KwNvVanDikkeDarm_13";"k_215KwNvVanEndeldarmEnAnus_14";"k_216KwNvLeverEnIntrahGalwegen_15";"k_217KwNvVanGalblaasEnGalwegen_16";"k_218KwNvVanAlvleesklier_17";"k_219KwNvVanStrottehoofd_18";"k_2110KwNvVanLuchtpijpEnLong_19";"k_2111MelanoomVanHuid_20";"k_2112KwNvVanBorst_21";"k_2113KwNvVanBaarmoederhals_22";"k_2114KwNvVanBaarmoederlichaam_23";"k_2115KwNvVanEierstok_24";"k_2116KwNvVanProstaat_25";"k_2117KwNvNierBehalveNierbekken_26";"k_2118KwNvVanUrineblaas_27";"k_2119KwNvLymfEnBloedvWeefsel_28";"k_2120OvKwaadaardigeNieuwvormingen_29";"k_22OverigeNieuwvormingen_30";"k_3ZktnBloedBloedvormendeOrganenEn_31";"TotaalEndocrieneVoedingsStofwZ_32";"k_41Suikerziekte_33";"k_42OvEndocrieneVoedingsStofwis_34";"TotaalPsychischeStoornissen_35";"k_51PsychischeStoornissenDoorAlcohol_36";"k_52PsychischeStoornissenDrugsEnVl_37";"k_53OverigePsychischeStoornissen_38";"TotaalZiektenZenuwstelselEnZintuigen_39";"k_61Hersenvliesontsteking_40";"k_62ZiekteVanParkinson_41";"k_63OvZktnZenuwstelselEnZintuigen_42";"TotaalZiektenVanHartEnVaatstelsel_43";"TotaalZiektenVanDeKransvaten_44";"k_711AcuutHartinfarct_45";"k_712OverigeZiektenVanDeKransvaten_46";"k_72OverigeHartziekten_47";"k_73Hersenvaatletsels_48";"k_74OverigeZiektenHartEnVaatstelsel_49";"TotaalZiektenVanDeAdemhalingsorganen_50";"k_81Griep_51";"k_82Longontsteking_52";"TotaalChronischeAandOndersteLucht_53";"k_831Astma_54";"k_832OvChronAandOndersteLuchtw_55";"k_84OverigeZiektenAdemhalingsorganen_56";"TotaalZiektenSpijsverteringsorganen_57";"k_91MaagzweerEnZweerAanTwaalfvinge_58";"TotaalChronischeLeveraandoeningen_59";"k_921ChronischeLeveraandAlcohol_60";"k_922OvChronischeLeveraandoeningen_61";"k_93OvZiektenSpijsverteringsorganen_62";"k_10ZiektenHuidOnderhuidsBindweefsel_63";"TotaalZiektenSpierenBeendBindwfsl_64";"k_111ReumatoideArtritisEnArtrose_65";"k_112OvZktnSpierenBeendBindwfsl_66";"TotaalZktnUrinewegenEnGeslOrganen_67";"k_121ZiektenVanNierEnUrineleider_68";"k_122OvZktnUrinewegenEnGeslOrganen_69";"k_13ComplicatiesZwangerschapBevallin_70";"k_14AandoeningenVDPerinatalePeriode_71";"TotaalAangeborenAfwijkingen_72";"k_151AangeborenAfwZenuwstelsel_73";"k_152AangeborenAfwHartEnBloedvaten_74";"k_153OverigeAangeborenAfwijkingen_75";"TotaalSympEnOnvollOmschrZiekten_76";"k_161Wiegendood_77";"k_162OnvollOmschrEnOnbekOorzaken_78";"k_163OvSymptomenEnOnvolledigOmsch_79";"TotaalUitwendigeDoodsoorzaken_80";"TotaalOngevallen_81";"TotaalVervoersongevallen_82";"k_17111Wegverkeersongevallen_83";"k_17112OverigeVervoersongevallen_84";"k_1712AccidenteleVal_85";"k_1713AccidenteleVerdrinking_86";"k_1714AccidenteleVergiftiging_87";"k_1715OverigeOngevallen_88";"k_172Zelfdoding_89";"k_173MoordEnDoodslag_90";"k_174GebeurtenissenOpzetOnbekend_91";"k_175OverigeUitwendigeDoodsoorzaken_92";"k_18TotaalCOVID19Coronavirus19_93";"k_181VastgesteldeCOVID19_94";"k_182VermoedelijkeCOVID19_95"
"1445";"T001038";"10000";"GM0034";"2016JJ00";"980";"22";"0";"0";"1";"0";"21";"350";"341";"6";"17";"10";"28";"15";"7";"5";"20";"0";"74";"4";"21";"2";"3";"8";"29";"2";"6";"36";"48";"9";"3";"24";"19";"5";"51";"4";"0";"47";"49";"0";"10";"39";"224";"57";"37";"20";"65";"54";"48";"85";"1";"27";"42";"2";"40";"15";"30";"1";"10";"3";"7";"19";"2";"5";"2";"3";"13";"6";"7";"0";"6";"3";"1";"1";"1";"62";"0";"36";"26";"51";"30";"4";"4";"0";"22";"1";"2";"1";"15";"0";"0";"6";;;
"1446";"T001038";"10000";"GM0034";"2017JJ00";"942";"20";"0";"0";"0";"0";"20";"336";"317";"5";"16";"9";"25";"9";"4";"2";"25";"1";"81";"7";"25";"2";"3";"7";"20";"4";"5";"23";"44";"19";"3";"37";"22";"15";"51";"7";"0";"44";"48";"0";"8";"40";"207";"46";"25";"21";"66";"55";"40";"67";"3";"19";"35";"0";"35";"10";"32";"0";"7";"4";"3";"25";"3";"7";"3";"4";"18";"11";"7";"0";"2";"0";"0";"0";"0";"49";"0";"25";"24";"62";"29";"0";"0";"0";"22";"1";"2";"4";"24";"2";"2";"5";;;
"1447";"T001038";"10000";"GM0034";"2018JJ00";"1016";"27";"0";"1";"0";"0";"26";"344";"330";"8";"19";"6";"30";"8";"9";"3";"18";"0";"73";"7";"25";"2";"2";"7";"18";"4";"8";"28";"55";"14";"7";"27";"22";"5";"62";"7";"0";"55";"58";"0";"6";"52";"227";"60";"43";"17";"61";"51";"55";"78";"4";"23";"41";"3";"38";"10";"43";"0";"12";"4";"8";"31";"0";"7";"2";"5";"24";"17";"7";"0";"4";"3";"0";"0";"3";"49";"0";"31";"18";"56";"31";"2";"1";"1";"28";"0";"0";"1";"17";"2";"0";"6";;;
"1448";"T001038";"10000";"GM0034";"2019JJ00";"1025";"27";"0";"2";"1";"0";"24";"332";"326";"2";"17";"5";"23";"12";"3";"2";"19";"2";"91";"10";"23";"2";"2";"6";"18";"10";"6";"28";"45";"6";"6";"38";"31";"7";"55";"4";"2";"49";"63";"0";"12";"51";"235";"58";"36";"22";"60";"67";"50";"75";"2";"13";"48";"0";"48";"12";"31";"2";"14";"5";"9";"15";"1";"9";"2";"7";"23";"15";"8";"0";"4";"0";"0";"0";"0";"61";"0";"42";"19";"65";"46";"4";"4";"0";"37";"0";"1";"4";"10";"3";"0";"6";;;
"1449";"T001038";"10000";"GM0034";"2020JJ00";"1084";"21";"0";"0";"0";"1";"20";"346";"331";"2";"14";"8";"19";"10";"15";"6";"30";"0";"82";"6";"17";"5";"3";"4";"21";"5";"4";"26";"54";"15";"6";"34";"26";"8";"49";"4";"0";"45";"58";"0";"7";"51";"208";"46";"31";"15";"74";"40";"48";"61";"1";"13";"38";"1";"37";"9";"29";"0";"7";"6";"1";"22";"1";"7";"1";"6";"12";"8";"4";"0";"1";"4";"0";"0";"4";"89";"0";"75";"14";"56";"35";"4";"4";"0";"29";"0";"2";"0";"12";"2";"3";"4";"102";"91";"11"
"1470";"T001038";"10000";"GM0307";"2016JJ00";"1077";"23";"0";"0";"0";"0";"23";"318";"309";"3";"13";"14";"21";"5";"4";"4";"17";"2";"75";"9";"25";"1";"6";"8";"25";"8";"5";"33";"31";"9";"4";"23";"18";"5";"85";"6";"1";"78";"75";"0";"16";"59";"282";"74";"47";"27";"84";"77";"47";"82";"2";"21";"50";"0";"50";"9";"43";"2";"7";"3";"4";"34";"6";"4";"2";"2";"24";"14";"10";"0";"2";"9";"2";"1";"6";"40";"0";"22";"18";"57";"37";"2";"2";"0";"30";"1";"0";"4";"15";"2";"1";"2";;;
"1471";"T001038";"10000";"GM0307";"2017JJ00";"1094";"26";"0";"1";"1";"0";"24";"307";"301";"3";"15";"11";"26";"12";"6";"2";"18";"2";"51";"4";"21";"2";"1";"9";"18";"9";"9";"25";"57";"6";"5";"25";"14";"11";"110";"5";"0";"105";"83";"0";"22";"61";"267";"56";"31";"25";"104";"62";"45";"85";"3";"21";"51";"0";"51";"10";"36";"1";"10";"5";"5";"25";"1";"4";"1";"3";"15";"13";"2";"0";"3";"5";"0";"1";"4";"49";"0";"24";"25";"73";"41";"6";"6";"0";"31";"0";"3";"1";"21";"1";"0";"10";;;
"1472";"T001038";"10000";"GM0307";"2018JJ00";"1126";"33";"0";"0";"0";"0";"33";"327";"315";"4";"23";"11";"30";"10";"10";"6";"11";"4";"65";"6";"24";"1";"6";"11";"11";"5";"11";"19";"47";"12";"4";"26";"18";"8";"109";"4";"0";"105";"80";"1";"14";"65";"275";"69";"39";"30";"93";"67";"46";"77";"9";"23";"36";"0";"36";"9";"23";"1";"2";"2";"0";"20";"0";"6";"3";"3";"30";"16";"14";"1";"2";"3";"0";"0";"3";"52";"1";"22";"29";"78";"50";"3";"3";"0";"42";"1";"3";"1";"24";"1";"0";"3";;;
"1473";"T001038";"10000";"GM0307";"2019JJ00";"1082";"19";"0";"0";"3";"0";"16";"317";"304";"3";"15";"9";"23";"6";"4";"2";"29";"0";"68";"5";"18";"3";"9";"6";"24";"9";"3";"28";"40";"13";"7";"16";"11";"5";"123";"5";"0";"118";"55";"1";"17";"37";"269";"71";"43";"28";"80";"74";"44";"96";"4";"32";"50";"0";"50";"10";"30";"0";"4";"2";"2";"26";"0";"6";"1";"5";"23";"10";"13";"0";"3";"3";"0";"0";"3";"39";"0";"22";"17";"76";"53";"5";"5";"0";"44";"1";"1";"2";"15";"0";"0";"8";;;
"1474";"T001038";"10000";"GM0307";"2020JJ00";"1153";"21";"1";"0";"0";"0";"20";"320";"311";"6";"12";"6";"31";"6";"7";"3";"22";"1";"65";"4";"26";"0";"3";"4";"22";"3";"12";"22";"56";"9";"2";"25";"19";"6";"82";"5";"0";"77";"54";"1";"10";"43";"275";"56";"29";"27";"101";"67";"51";"64";"3";"14";"41";"1";"40";"6";"35";"1";"11";"5";"6";"23";"4";"3";"1";"2";"25";"15";"10";"0";"8";"2";"1";"0";"1";"44";"0";"22";"22";"67";"50";"1";"1";"0";"48";"0";"0";"1";"13";"1";"0";"3";"122";"100";"22"
