"Bevolkingsontwikkeling; regio per maand"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020 januari";"2020 februari";"2020 maart";"2020 oktober";"2020 november";"2020 december";"2020"
"Nederland";"Bevolking aan het begin van de periode";"aantal";"16105285";"16192572";"16258032";"16305526";"16334210";"16357992";"16405399";"16485787";"16574989";"16655799";"16730348";"16779575";"16829289";"16900726";"16979120";"17081507";"17181084";"17282163";"17407585";"17413971";"17423863";"17465296";"17472440";"17476482";"17407585"
"Nederland";"Levend geboren kinderen";"aantal";"202083";"200297";"194007";"187910";"185057";"181336";"184634";"184915";"184397";"180060";"175959";"171341";"175181";"170510";"172520";"169836";"168525";"169680";"14085";"12905";"13556";"14508";"13555";"13277";"168681"
"Nederland";"Overledenen";"aantal";"142355";"141936";"136553";"136402";"135372";"133022";"135136";"134235";"136058";"135741";"140813";"141245";"139223";"147134";"148997";"150214";"153363";"151885";"14111";"12895";"16237";"14613";"14925";"16802";"168678"
"Nederland";"Vestiging in de gemeente |Totale vestiging";"aantal";"750197";"720704";"711944";"734386";"753452";"763383";"792769";"743878";"744302";"756683";"768233";"778922";"837416";"902220";"998227";"1031566";"1002022";"1026586";"89538";"83523";"77114";"92808";"81445";"82067";"1014246"
"Nederland";"Vestiging in de gemeente |Vestiging vanuit een andere gemeente";"aantal";"628947";"616190";"617925";"642089";"652302";"646564";"649253";"597500";"589870";"593721";"609859";"614150";"654467";"697605";"767488";"796609";"758285";"757522";"67318";"61828";"61504";"71947";"63662";"65751";"793393"
"Nederland";"Vestiging in de gemeente |Immigratie";"aantal";"121250";"104514";"94019";"92297";"101150";"116819";"143516";"146378";"154432";"162962";"158374";"164772";"182949";"204615";"230739";"234957";"243737";"269064";"22220";"21695";"15610";"20861";"17783";"16316";"220853"
"Nederland";"Vertrek uit de gemeente|Totaal vertrek (incl. adm. correcties)";"aantal";"725865";"721021";"728160";"761814";"784772";"769140";"767032";"709397";"711221";"726915";"754350";"759819";"802329";"847114";"919033";"950901";"915651";"918551";"83126";"73641";"74039";"85559";"76033";"79077";"945887"
"Nederland";"Vertrek uit de gemeente|Vertrek naar andere gemeente";"aantal";"628947";"616190";"617925";"642089";"652302";"646564";"649253";"597500";"589870";"593721";"609859";"614150";"654467";"697605";"767488";"796609";"758285";"757522";"67318";"61828";"61504";"71947";"63662";"65751";"793393"
"Nederland";"Vertrek uit de gemeente|Emigratie inclusief adm. correcties";"aantal";"96918";"104831";"110235";"119725";"132470";"122576";"117779";"111897";"121351";"133194";"144491";"145669";"147862";"149509";"151545";"154292";"157366";"161029";"15808";"11813";"12535";"13612";"12371";"13326";"152494"
"Nederland";"Overige correcties";"aantal";"3227";"7416";"6256";"4604";"5417";"4850";"5153";"4041";"-610";"462";"198";"515";"392";"-88";"-330";"-710";"-454";"-408";"";"";"";"";"";"-532";"-532"
"Nederland";"Bevolkingsgroei|Bevolkingsgroei";"aantal";"87287";"65460";"47494";"28684";"23782";"47407";"80388";"89202";"80810";"74549";"49227";"49714";"71437";"78394";"102387";"99577";"101079";"125422";"6386";"9892";"394";"7144";"4042";"-1067";"67830"
"Nederland";"Bevolkingsgroei|Bevolkingsgroei, relatief";"%";"0,54";"0,40";"0,29";"0,18";"0,15";"0,29";"0,49";"0,54";"0,49";"0,45";"0,29";"0,30";"0,42";"0,46";"0,60";"0,58";"0,59";"0,73";"0,04";"0,06";"0,00";"0,04";"0,02";"-0,01";"0,39"
"Nederland";"Bevolkingsgroei|Bevolkingsgroei sinds 1 januari";"aantal";"87287";"65460";"47494";"28684";"23782";"47407";"80388";"89202";"80810";"74549";"49227";"49714";"71437";"78394";"102387";"99577";"101079";"125422";"6386";"16278";"16672";"64855";"68897";"67830";"67830"
"Nederland";"Bevolkingsgroei|Bevolkingsgroei sinds 1 januari, rela...";"%";"0,54";"0,40";"0,29";"0,18";"0,15";"0,29";"0,49";"0,54";"0,49";"0,45";"0,29";"0,30";"0,42";"0,46";"0,60";"0,58";"0,59";"0,73";"0,04";"0,09";"0,10";"0,37";"0,40";"0,39";"0,39"
"Nederland";"Bevolking aan het einde van de periode";"aantal";"16192572";"16258032";"16305526";"16334210";"16357992";"16405399";"16485787";"16574989";"16655799";"16730348";"16779575";"16829289";"16900726";"16979120";"17081507";"17181084";"17282163";"17407585";"17413971";"17423863";"17424257";"17472440";"17476482";"17475415";"17475415"
"Bron: CBS"
