"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"LevendGeborenKinderen_2";"Overledenen_3";"TotaleVestiging_4";"VestigingVanuitEenAndereGemeente_5";"Immigratie_6";"TotaalVertrekInclAdmCorrecties_7";"VertrekNaarAndereGemeente_8";"EmigratieInclusiefAdmCorrecties_9";"OverigeCorrecties_10";"Bevolkingsgroei_11";"BevolkingsgroeiRelatief_12";"BevolkingsgroeiSinds1Januari_13";"BevolkingsgroeiSinds1JanuariRela_14";"BevolkingAanHetEindeVanDePeriode_15"
"14604";"GM1680";"2002JJ00";"25552";"289";"251";"1353";"1121";"232";"1617";"1498";"119";"-21";"-247";"-0.97";"-247";"-0.97";"25305"
"14617";"GM1680";"2003JJ00";"25305";"279";"241";"1127";"1071";"56";"1264";"1111";"153";"12";"-87";"-0.34";"-87";"-0.34";"25218"
"14630";"GM1680";"2004JJ00";"25218";"233";"221";"1167";"1104";"63";"1077";"1023";"54";"9";"111";"0.44";"111";"0.44";"25329"
"14643";"GM1680";"2005JJ00";"25329";"230";"231";"1322";"1254";"68";"1143";"1062";"81";"0";"178";"0.7";"178";"0.7";"25507"
"14656";"GM1680";"2006JJ00";"25507";"216";"212";"1369";"1320";"49";"1326";"1222";"104";"9";"56";"0.22";"56";"0.22";"25563"
"14669";"GM1680";"2007JJ00";"25563";"237";"235";"1208";"1151";"57";"1192";"1099";"93";"17";"35";"0.14";"35";"0.14";"25598"
"14682";"GM1680";"2008JJ00";"25598";"223";"219";"1163";"1087";"76";"1121";"1096";"25";"31";"77";"0.3";"77";"0.3";"25675"
"14695";"GM1680";"2009JJ00";"25675";"205";"240";"1074";"984";"90";"1131";"1055";"76";"-20";"-112";"-0.44";"-112";"-0.44";"25563"
"14708";"GM1680";"2010JJ00";"25563";"195";"236";"1306";"1095";"211";"1051";"990";"61";"8";"222";"0.87";"222";"0.87";"25785"
"14721";"GM1680";"2011JJ00";"25785";"173";"254";"1092";"1017";"75";"1061";"997";"64";"3";"-47";"-0.18";"-47";"-0.18";"25738"
"14734";"GM1680";"2012JJ00";"25738";"170";"260";"1084";"995";"89";"1192";"1018";"174";"1";"-197";"-0.77";"-197";"-0.77";"25541"
"14747";"GM1680";"2013JJ00";"25541";"164";"235";"1051";"980";"71";"1165";"1090";"75";"1";"-184";"-0.72";"-184";"-0.72";"25357"
"14760";"GM1680";"2014JJ00";"25357";"159";"240";"1103";"1050";"53";"1177";"1088";"89";"1";"-154";"-0.61";"-154";"-0.61";"25203"
"14773";"GM1680";"2015JJ00";"25203";"167";"250";"1377";"1308";"69";"1249";"1183";"66";"-5";"40";"0.16";"40";"0.16";"25243"
"14786";"GM1680";"2016JJ00";"25243";"136";"274";"1457";"1374";"83";"1280";"1188";"92";"4";"43";"0.17";"43";"0.17";"25286"
"14799";"GM1680";"2017JJ00";"25286";"164";"265";"1682";"1592";"90";"1472";"1393";"79";"-5";"104";"0.41";"104";"0.41";"25390"
"14812";"GM1680";"2018JJ00";"25390";"162";"283";"1501";"1414";"87";"1384";"1303";"81";"0";"-4";"-0.02";"-4";"-0.02";"25386"
"14825";"GM1680";"2019JJ00";"25386";"176";"280";"1512";"1411";"101";"1349";"1305";"44";"0";"59";"0.23";"59";"0.23";"25445"
"14838";"GM1680";"2020JJ00";"25445";"167";"274";"1520";"1465";"55";"1459";"1395";"64";"0";"-46";"-0.18";"-46";"-0.18";"25399"
"14860";"GM0738";"2002JJ00";"12006";"175";"101";"316";"300";"16";"314";"295";"19";"5";"81";"0.67";"81";"0.67";"12087"
"14873";"GM0738";"2003JJ00";"12087";"178";"97";"365";"344";"21";"320";"293";"27";"-9";"117";"0.97";"117";"0.97";"12204"
"14886";"GM0738";"2004JJ00";"12204";"154";"100";"284";"255";"29";"373";"351";"22";"-5";"-40";"-0.33";"-40";"-0.33";"12164"
"14899";"GM0738";"2005JJ00";"12164";"163";"95";"364";"354";"10";"377";"355";"22";"3";"58";"0.48";"58";"0.48";"12222"
"14912";"GM0738";"2006JJ00";"12222";"152";"72";"412";"391";"21";"419";"396";"23";"-2";"71";"0.58";"71";"0.58";"12293"
"14925";"GM0738";"2007JJ00";"12293";"133";"73";"393";"355";"38";"362";"343";"19";"2";"93";"0.76";"93";"0.76";"12386"
"14938";"GM0738";"2008JJ00";"12386";"176";"92";"448";"416";"32";"366";"344";"22";"4";"170";"1.37";"170";"1.37";"12556"
"14951";"GM0738";"2009JJ00";"12556";"160";"74";"320";"295";"25";"347";"323";"24";"-1";"58";"0.46";"58";"0.46";"12614"
"14964";"GM0738";"2010JJ00";"12614";"159";"94";"375";"330";"45";"369";"351";"18";"0";"71";"0.56";"71";"0.56";"12685"
"14977";"GM0738";"2011JJ00";"12685";"178";"88";"373";"334";"39";"400";"357";"43";"1";"64";"0.5";"64";"0.5";"12749"
"14990";"GM0738";"2012JJ00";"12749";"146";"88";"364";"316";"48";"396";"347";"49";"-1";"25";"0.2";"25";"0.2";"12774"
"15003";"GM0738";"2013JJ00";"12774";"141";"100";"375";"318";"57";"344";"322";"22";"0";"72";"0.56";"72";"0.56";"12846"
"15016";"GM0738";"2014JJ00";"12846";"152";"100";"436";"374";"62";"414";"376";"38";"2";"76";"0.59";"76";"0.59";"12922"
"15029";"GM0738";"2015JJ00";"12922";"160";"113";"502";"420";"82";"440";"402";"38";"7";"116";"0.9";"116";"0.9";"13038"
"15042";"GM0738";"2016JJ00";"13038";"152";"114";"461";"403";"58";"465";"424";"41";"-5";"29";"0.22";"29";"0.22";"13067"
"15055";"GM0738";"2017JJ00";"13067";"135";"90";"562";"496";"66";"521";"499";"22";"0";"86";"0.66";"86";"0.66";"13153"
"15068";"GM0738";"2018JJ00";"13153";"153";"84";"626";"529";"97";"545";"507";"38";"18";"168";"1.28";"168";"1.28";"13321"
"15081";"GM0738";"2019JJ00";;;;;;;;;;;;;;;
"15094";"GM0738";"2020JJ00";;;;;;;;;;;;;;;
"15116";"GM0358";"2002JJ00";"22786";"263";"171";"873";"716";"157";"914";"753";"161";"2";"53";"0.23";"53";"0.23";"22839"
"15129";"GM0358";"2003JJ00";"22839";"246";"181";"893";"771";"122";"892";"749";"143";"10";"76";"0.33";"76";"0.33";"22915"
"15142";"GM0358";"2004JJ00";"22915";"251";"214";"1106";"943";"163";"761";"665";"96";"-1";"381";"1.66";"381";"1.66";"23296"
"15155";"GM0358";"2005JJ00";"23296";"265";"184";"1643";"1395";"248";"891";"741";"150";"16";"849";"3.64";"849";"3.64";"24145"
"15168";"GM0358";"2006JJ00";"24145";"255";"173";"1731";"1520";"211";"946";"747";"199";"7";"874";"3.62";"874";"3.62";"25019"
"15181";"GM0358";"2007JJ00";"25019";"315";"169";"2217";"2020";"197";"1002";"801";"201";"6";"1367";"5.46";"1367";"5.46";"26386"
"15194";"GM0358";"2008JJ00";"26386";"358";"196";"2421";"2172";"249";"973";"807";"166";"10";"1620";"6.14";"1620";"6.14";"28006"
"15207";"GM0358";"2009JJ00";"28006";"343";"180";"1940";"1685";"255";"940";"725";"215";"18";"1181";"4.22";"1181";"4.22";"29187"
"15220";"GM0358";"2010JJ00";"29187";"387";"189";"1778";"1477";"301";"973";"773";"200";"-1";"1002";"3.43";"1002";"3.43";"30189"
"15233";"GM0358";"2011JJ00";"30189";"345";"205";"1156";"900";"256";"1120";"917";"203";"-1";"175";"0.58";"175";"0.58";"30364"
"15246";"GM0358";"2012JJ00";"30364";"333";"211";"1212";"944";"268";"1083";"898";"185";"3";"254";"0.84";"254";"0.84";"30618"
"15259";"GM0358";"2013JJ00";"30618";"342";"221";"1240";"965";"275";"1218";"986";"232";"-2";"141";"0.46";"141";"0.46";"30759"
"15272";"GM0358";"2014JJ00";"30759";"291";"228";"1502";"1165";"337";"1245";"1063";"182";"-2";"318";"1.03";"318";"1.03";"31077"
"15285";"GM0358";"2015JJ00";"31077";"293";"230";"1601";"1228";"373";"1440";"1200";"240";"-2";"222";"0.71";"222";"0.71";"31299"
"15298";"GM0358";"2016JJ00";"31299";"260";"243";"1748";"1432";"316";"1691";"1463";"228";"0";"74";"0.24";"74";"0.24";"31373"
"15311";"GM0358";"2017JJ00";"31373";"249";"274";"1797";"1488";"309";"1647";"1382";"265";"1";"126";"0.4";"126";"0.4";"31499"
"15324";"GM0358";"2018JJ00";"31499";"281";"279";"1674";"1373";"301";"1447";"1185";"262";"0";"229";"0.73";"229";"0.73";"31728"
"15337";"GM0358";"2019JJ00";"31728";"236";"270";"1626";"1273";"353";"1461";"1232";"229";"0";"131";"0.41";"131";"0.41";"31859"
"15350";"GM0358";"2020JJ00";"31859";"271";"277";"1865";"1538";"327";"1725";"1505";"220";"-2";"132";"0.41";"132";"0.41";"31991"
"15372";"GM0197";"2002JJ00";"18811";"236";"164";"614";"452";"162";"642";"577";"65";"0";"44";"0.23";"44";"0.23";"18855"
"15385";"GM0197";"2003JJ00";"18855";"215";"178";"681";"576";"105";"585";"534";"51";"10";"143";"0.76";"143";"0.76";"18998"
"15398";"GM0197";"2004JJ00";"18998";"211";"166";"510";"462";"48";"618";"496";"122";"0";"-63";"-0.33";"-63";"-0.33";"18935"
"15411";"GM0197";"2005JJ00";"27446";"287";"235";"834";"764";"70";"856";"725";"131";"0";"30";"0.11";"30";"0.11";"27476"
"15424";"GM0197";"2006JJ00";"27476";"324";"223";"887";"787";"100";"891";"680";"211";"-3";"94";"0.34";"94";"0.34";"27570"
"15437";"GM0197";"2007JJ00";"27570";"319";"217";"752";"654";"98";"867";"743";"124";"11";"-2";"-0.01";"-2";"-0.01";"27568"
"15450";"GM0197";"2008JJ00";"27568";"298";"244";"797";"675";"122";"972";"863";"109";"0";"-121";"-0.44";"-121";"-0.44";"27447"
"15463";"GM0197";"2009JJ00";"27447";"316";"233";"811";"605";"206";"844";"747";"97";"3";"53";"0.19";"53";"0.19";"27500"
"15476";"GM0197";"2010JJ00";"27500";"290";"228";"763";"588";"175";"892";"745";"147";"6";"-61";"-0.22";"-61";"-0.22";"27439"
"15489";"GM0197";"2011JJ00";"27439";"250";"214";"803";"638";"165";"976";"797";"179";"3";"-134";"-0.49";"-134";"-0.49";"27305"
"15502";"GM0197";"2012JJ00";"27305";"256";"235";"661";"600";"61";"906";"823";"83";"1";"-223";"-0.82";"-223";"-0.82";"27082"
"15515";"GM0197";"2013JJ00";"27082";"241";"245";"637";"566";"71";"703";"630";"73";"1";"-69";"-0.25";"-69";"-0.25";"27013"
"15528";"GM0197";"2014JJ00";"27013";"227";"244";"679";"593";"86";"773";"687";"86";"2";"-109";"-0.4";"-109";"-0.4";"26904"
"15541";"GM0197";"2015JJ00";"26904";"249";"257";"789";"694";"95";"774";"682";"92";"1";"8";"0.03";"8";"0.03";"26912"
"15554";"GM0197";"2016JJ00";"26912";"234";"255";"1262";"974";"288";"1103";"1032";"71";"-3";"135";"0.5";"135";"0.5";"27047"
"15567";"GM0197";"2017JJ00";"27047";"219";"268";"1171";"1031";"140";"1208";"1109";"99";"1";"-85";"-0.31";"-85";"-0.31";"26962"
"15580";"GM0197";"2018JJ00";"26962";"220";"277";"944";"820";"124";"836";"720";"116";"-2";"49";"0.18";"49";"0.18";"27011"
"15593";"GM0197";"2019JJ00";"27011";"240";"256";"950";"827";"123";"823";"725";"98";"-1";"110";"0.41";"110";"0.41";"27121"
"15606";"GM0197";"2020JJ00";"27121";"254";"289";"824";"705";"119";"790";"710";"80";"0";"-1";"0";"-1";"0";"27120"
"15628";"GM0480";"2002JJ00";"9083";"101";"55";"227";"212";"15";"275";"249";"26";"-1";"-3";"-0.03";"-3";"-0.03";"9080"
"15641";"GM0480";"2003JJ00";"9080";"99";"48";"206";"197";"9";"332";"302";"30";"5";"-70";"-0.77";"-70";"-0.77";"9010"
"15654";"GM0480";"2004JJ00";"9010";"82";"61";"309";"281";"28";"340";"310";"30";"-1";"-11";"-0.12";"-11";"-0.12";"8999"
"15667";"GM0480";"2005JJ00";"8999";"82";"60";"284";"247";"37";"318";"297";"21";"1";"-11";"-0.12";"-11";"-0.12";"8988"
"15680";"GM0480";"2006JJ00";"8988";"92";"52";"325";"270";"55";"394";"354";"40";"5";"-24";"-0.27";"-24";"-0.27";"8964"
"15693";"GM0480";"2007JJ00";;;;;;;;;;;;;;;
"15706";"GM0480";"2008JJ00";;;;;;;;;;;;;;;
"15719";"GM0480";"2009JJ00";;;;;;;;;;;;;;;
"15732";"GM0480";"2010JJ00";;;;;;;;;;;;;;;
"15745";"GM0480";"2011JJ00";;;;;;;;;;;;;;;
"15758";"GM0480";"2012JJ00";;;;;;;;;;;;;;;
"15771";"GM0480";"2013JJ00";;;;;;;;;;;;;;;
"15784";"GM0480";"2014JJ00";;;;;;;;;;;;;;;
"15797";"GM0480";"2015JJ00";;;;;;;;;;;;;;;
"15810";"GM0480";"2016JJ00";;;;;;;;;;;;;;;
"15823";"GM0480";"2017JJ00";;;;;;;;;;;;;;;
"15836";"GM0480";"2018JJ00";;;;;;;;;;;;;;;
"15849";"GM0480";"2019JJ00";;;;;;;;;;;;;;;
