id;Gemeente;Groep_rij;Geslacht;Bij geboorte;Bij geboorte (afwijking tov NL);Bij 65 jaar;Bij 65 jaar (afwijking tov NL)
0518;'s-Gravenhage;Levensverwachting;Totaal;80,8;onder, 99% zeker;19,1;onder, 99% zeker
0796;'s-Hertogenbosch;Levensverwachting;Totaal;81,3;onder, 99% zeker;19,7;onder, 99% zeker
1680;Aa en Hunze;Levensverwachting;Totaal;82,1;geen;20,4;geen
0358;Aalsmeer;Levensverwachting;Totaal;82,9;boven, 99% zeker;20,1;geen
0197;Aalten;Levensverwachting;Totaal;82,1;geen;20,3;geen
0059;Achtkarspelen;Levensverwachting;Totaal;81,4;geen;19,7;geen
0482;Alblasserdam;Levensverwachting;Totaal;82,7;boven, 95% zeker;20,6;boven, 95% zeker
0613;Albrandswaard;Levensverwachting;Totaal;83,0;boven, 99% zeker;21,1;boven, 99% zeker
0361;Alkmaar;Levensverwachting;Totaal;81,8;geen;20,3;boven, 99% zeker
0141;Almelo;Levensverwachting;Totaal;80,2;onder, 99% zeker;19,2;onder, 99% zeker
0034;Almere;Levensverwachting;Totaal;82,3;boven, 99% zeker;20,1;geen
0484;Alphen aan den Rijn;Levensverwachting;Totaal;82,7;boven, 99% zeker;20,5;boven, 99% zeker
1723;Alphen-Chaam;Levensverwachting;Totaal;83,6;boven, 99% zeker;21,6;boven, 99% zeker
1959;Altena;Levensverwachting;Totaal;82,6;boven, 99% zeker;20,4;boven, 95% zeker
0060;Ameland;Levensverwachting;Totaal;82,1;geen;19,9;geen
0307;Amersfoort;Levensverwachting;Totaal;82,1;geen;20,0;geen
0362;Amstelveen;Levensverwachting;Totaal;83,4;boven, 99% zeker;21,0;boven, 99% zeker
0363;Amsterdam;Levensverwachting;Totaal;81,1;onder, 99% zeker;19,5;onder, 99% zeker
0200;Apeldoorn;Levensverwachting;Totaal;81,4;onder, 99% zeker;20,0;geen
0003;Appingedam;Levensverwachting;Totaal;80,2;onder, 99% zeker;18,8;onder, 99% zeker
